,symbol,date,rmse_norm,rmse_denorm
0,DASH,2016-07-29,0.003601417491411185,0.0003813905891776031
1,DASH,2016-08-26,0.005959846035729466,0.0006311481809616083
2,DASH,2016-09-09,0.0009292314309236327,9.840581417083771e-05
3,DASH,2016-10-29,0.010564083639071492,0.0011187364193797102
4,DASH,2016-11-24,0.002588329944720913,0.0002741043192148202
5,DASH,2016-12-14,0.0026448556817399715,0.00028009002894163054
6,DASH,2017-01-27,0.004836883490889343,0.0005122258126735689
7,DASH,2017-02-14,0.027007380474052767,0.002860081571340562
8,DASH,2017-03-22,0.1435729314067432,0.015204367868900295
9,DASH,2017-04-20,0.04264645063167938,0.004516259485483176
10,DASH,2017-05-07,0.04836780945009722,0.005122150704860683
11,DASH,2017-06-11,0.0769801147992708,0.008152198225259782
