,symbol,date,rmse_norm,rmse_denorm
0,XEM,2016-07-29,0.0012491445846521398,1.511840339982888e-07
1,XEM,2016-08-26,0.0022081073099922827,2.672474895371116e-07
2,XEM,2016-09-09,0.0027208635116434954,3.2930620251223366e-07
3,XEM,2016-10-29,0.001683390827602195,2.0374096388230075e-07
4,XEM,2016-11-24,0.0015776651057834226,1.9094505019253132e-07
5,XEM,2016-12-14,0.0014899392455070201,1.8032726953504649e-07
6,XEM,2017-01-27,0.0006773174738604268,8.197597304824721e-08
7,XEM,2017-02-14,0.002969666848552141,3.594185677065987e-07
8,XEM,2017-03-22,0.0005349778848561665,6.474849469959366e-08
9,XEM,2017-04-20,0.006779194906222197,8.20486513129434e-07
10,XEM,2017-05-07,0.14975705049180355,1.812509477115236e-05
11,XEM,2017-06-11,0.13096878896574737,1.5851151074841623e-05
