DateTime,Open,High,Low,Close,Volume,VolumeBTC,Symbol,RSI_14,SMA_14,EMA_14,RSI_30,SMA_30,EMA_30,RSI_60,SMA_60,EMA_60
2016-07-23,9.73e-06,9.84e-06,9.45e-06,9.56e-06,21975471.57,210.6,XRP,46.450957372813576,9.682857142857147e-06,9.704884568029316e-06,45.24523459327059,9.83899999999996e-06,9.825592391208832e-06,44.39328255657429,9.880000000000066e-06,1.0478066186196708e-05
2016-07-24,9.56e-06,9.61e-06,9.21e-06,9.33e-06,18457233.08,174.49,XRP,43.63965866869017,9.657857142857147e-06,9.654899958958741e-06,44.22221634550121,9.830666666666625e-06,9.793618688550198e-06,43.95441499015643,9.823833333333398e-06,1.0440424671895177e-05
2016-07-25,9.33e-06,9.46e-06,8.8e-06,9e-06,44955836.35,409.34,XRP,39.925096551259216,9.62071428571429e-06,9.56757996443091e-06,42.78785812703644,9.787333333333293e-06,9.74241748283728e-06,43.32957992403838,9.780500000000067e-06,1.0393197633472384e-05
2016-07-26,9e-06,9.52e-06,8.88e-06,8.96e-06,21185816.32,191.99,XRP,39.4885736806731,9.565000000000004e-06,9.486569302506789e-06,42.61473169838163,9.763666666666627e-06,9.691938935557457e-06,43.25380738010513,9.7598333333334e-06,1.0346207547129028e-05
2016-07-27,8.96e-06,9.19e-06,8.84e-06,9.07e-06,14991234.73,134.8,XRP,41.377105061718986,9.523571428571433e-06,9.431026728839218e-06,43.267037763122794,9.712666666666629e-06,9.651813842940847e-06,43.529901535387644,9.727666666666733e-06,1.0304364676731355e-05
2016-07-28,9.07e-06,9.42e-06,9.05e-06,9.32e-06,8975384.24,83.32,XRP,45.517611829905555,9.493571428571433e-06,9.41622316499399e-06,44.74217540728229,9.669999999999962e-06,9.630406498234986e-06,44.157684906923514,9.7063333333334e-06,1.0272090425035245e-05
2016-07-29,9.32e-06,9.42e-06,9.24e-06,9.33e-06,7917338.98,73.76,XRP,45.68203119762661,9.438571428571431e-06,9.40472674299479e-06,44.80149863915061,9.653333333333296e-06,9.611025433832728e-06,44.182919537767,9.6868333333334e-06,1.0241202214378352e-05
2016-07-30,9.33e-06,9.51e-06,9.19e-06,9.32e-06,11347571.79,105.85,XRP,45.534798766704824,9.41357142857143e-06,9.393429843928819e-06,44.75185284302331,9.627333333333296e-06,9.592249599391908e-06,44.162630238088674,9.662166666666733e-06,1.0210998863087258e-05
2016-07-31,9.32e-06,9.58e-06,9.17e-06,9.54e-06,16652893.08,156.45,XRP,49.38038717361389,9.405e-06,9.412972531404976e-06,46.10943400386016,9.630999999999963e-06,9.588878657495656e-06,44.730306803350494,9.644500000000067e-06,1.0188998900363085e-05
2016-08-01,9.54e-06,1.04e-05,9.41e-06,1.04e-05,39999873.55,392.09,XRP,60.93325713873221,9.46857142857143e-06,9.544576193884313e-06,50.975494624701874,9.647666666666628e-06,9.641209066689485e-06,46.876729124268856,9.6478333333334e-06,1.0195916969203639e-05
