DateTime,Open,High,Low,Close,Volume,VolumeBTC,Symbol,RSI_14,SMA_14,EMA_14,RSI_30,SMA_30,EMA_30,RSI_60,SMA_60,EMA_60
2016-07-23,0.00995,0.01,0.000101,0.001401,16198297.37,23304.1,ETC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-24,0.001401,0.001422,0.0006687,0.000927,13476921.25,13020.65,ETC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-25,0.000927,0.004872,0.00091,0.003878,50721592.88,140688.45,ETC,30.781266298112033,0.0,0.0,17.185953060392524,0.0,0.0,9.40078366410755,0.0,0.0
2016-07-26,0.003878,0.004098,0.001829,0.002463,28480331.16,80321.06,ETC,26.57823124875356,0.0,0.0,15.83735096020537,0.0,0.0,8.988843903491519,0.0,0.0
2016-07-27,0.002463,0.003066,0.002072,0.00262,19427481.2,50765.26,ETC,27.751006431302894,0.0,0.0,16.587803821904345,0.0,0.0,9.436500149527625,0.0,0.0
2016-07-28,0.00262,0.002783,0.0023539999999999998,0.002529,9377142.21,23758.29,ETC,27.4784309309595,0.0,0.0,16.49968637817749,0.0,0.0,9.409227689130025,0.0,0.0
2016-07-29,0.002529,0.0026420000000000003,0.002364,0.0023989999999999997,5103042.51,12676.87,ETC,27.07144010248793,0.0,0.0,16.371305978331442,0.0,0.0,9.369897254839808,0.0,0.0
2016-07-30,0.0023989999999999997,0.003059,0.00237,0.0028940000000000003,12847405.3,35989.47,ETC,31.22705581270583,0.0,0.0,18.85549387613689,0.0,0.0,10.813063759563248,0.0,0.0
2016-07-31,0.0028940000000000003,0.0038350000000000003,0.0028309999999999997,0.0037979999999999997,16366846.13,55027.15,ETC,38.125853625551485,0.0,0.0,23.162786754206152,0.0,0.0,13.374202069151414,0.0,0.0
2016-08-01,0.0037979999999999997,0.006266,0.00374,0.0052,40652301.82,194856.19,ETC,46.965887201304284,0.0,0.0,29.186718265264645,0.0,0.0,17.1265687868078,0.0,0.0
2016-08-02,0.0052,0.005818,0.004108,0.0045520000000000005,22155132.53,110515.91,ETC,43.86255121134721,0.0,0.0,28.133310089722396,0.0,0.0,16.784917689462524,0.0,0.0
2016-08-03,0.0045520000000000005,0.0048590000000000005,0.0036130000000000003,0.003942,14404811.15,61061.02,ETC,41.12199629266711,0.0,0.0,27.179104767366194,0.0,0.0,16.470467545307322,0.0,0.0
2016-08-04,0.003942,0.004599,0.0039,0.004459,6360199.75,27469.76,ETC,44.28321539860844,0.0,0.0,29.279812115367303,0.0,0.0,17.797425897362245,0.0,0.0
2016-08-05,0.004459,0.005068,0.004359,0.004528,6581273.81,30802.12,ETC,44.70772522745842,0.0032564285714285707,0.0032564285714285707,29.56005046312853,0.0,0.0,17.974235017689896,0.0,0.0
2016-08-06,0.004528,0.0046689999999999995,0.003356,0.003564,10579733.84,40999.51,ETC,40.130829599041625,0.003410928571428571,0.0032974380952380945,27.960501645333334,0.0,0.0,17.441382906801987,0.0,0.0
