,symbol,date,rmse_norm,rmse_denorm
0,LTC,2016-07-29,0.0027544503821395616,0.0001632889150302505
1,LTC,2016-08-26,0.01804356997145526,0.0010696596784939023
2,LTC,2016-09-09,0.01367355701679454,0.0008105958298087849
3,LTC,2016-10-29,0.010975960111919203,0.0006506765397527661
4,LTC,2016-11-24,0.006828363363454382,0.0004047996291142511
5,LTC,2016-12-14,0.0036602830767126504,0.00021698905656417425
6,LTC,2017-01-27,0.0017986203332383544,0.0001066256936805253
7,LTC,2017-02-14,0.0013791622800634895,8.175941214311113e-05
8,LTC,2017-03-22,0.005037531268074297,0.00029863515273626916
9,LTC,2017-04-20,0.02112058256328264,0.0012520714063192495
10,LTC,2017-05-07,0.05731779612833454,0.0033979110654655947
11,LTC,2017-06-11,0.011480747596558816,0.0006806014645616872
