,symbol,date,rmse_norm,rmse_denorm
0,XLM_with_indicators,2016-07-29,0.015722019896266738,4.6128417519736123e-07
1,XLM_with_indicators,2016-08-26,0.0027609920940516453,8.100740776339101e-08
2,XLM_with_indicators,2016-09-09,0.00011255351373265499,3.3024285233113042e-09
3,XLM_with_indicators,2016-10-29,0.00835077417601756,2.4501167046430065e-07
4,XLM_with_indicators,2016-11-24,0.0035916865963918146,1.0538020554056876e-07
5,XLM_with_indicators,2016-12-14,0.02928459748432763,8.592100506415593e-07
6,XLM_with_indicators,2017-01-27,0.000701424508941513,2.0579856031108605e-08
7,XLM_with_indicators,2017-02-14,0.006393507463272198,1.8758541823597613e-07
8,XLM_with_indicators,2017-03-22,0.0022242247966900927,6.525872984086161e-08
9,XLM_with_indicators,2017-04-20,0.0006784227458936712,1.990504207904457e-08
10,XLM_with_indicators,2017-05-07,0.5493668554263124,1.6118423660006373e-05
11,XLM_with_indicators,2017-06-11,0.005458488318899002,1.6015315292170236e-07
