,symbol,date,rmse_norm,rmse_denorm
0,DOGE,2016-07-29,0.03969781942989517,5.478299633330607e-08
1,DOGE,2016-08-26,0.01751770403074185,2.417443069098228e-08
2,DOGE,2016-09-09,0.04228209974109268,5.8349287656383245e-08
3,DOGE,2016-10-29,0.050281185818755125,6.938801256132138e-08
4,DOGE,2016-11-24,0.020300282192403013,2.8014380102104055e-08
5,DOGE,2016-12-14,0.017836587260598724,2.461447408924867e-08
6,DOGE,2017-01-27,0.019762228256550413,2.727186425683613e-08
7,DOGE,2017-02-14,0.018634733352540206,2.571593660813961e-08
8,DOGE,2017-03-22,0.005683635347995181,7.84342775066761e-09
9,DOGE,2017-04-20,0.00396994598533798,5.478521164041008e-09
10,DOGE,2017-05-07,0.17936176234397327,2.475192103587324e-07
11,DOGE,2017-06-11,0.04700363114260253,6.486495340330291e-08
