,symbol,date,rmse_norm,rmse_denorm
0,LTC,2016-07-29,0.01124003475770724,0.0002865308236777789
1,LTC,2016-08-26,0.008677176882160825,0.00022119909182190863
2,LTC,2016-09-09,0.016017494771425583,0.0004083179388344295
3,LTC,2016-10-29,0.0065071391227872755,0.00016587981051206617
4,LTC,2016-11-24,0.0008971349641776483,2.28697452545161e-05
5,LTC,2016-12-14,0.0020167073487730447,5.1409881651401715e-05
6,LTC,2017-01-27,0.0006319674451787383,1.6110211968421717e-05
7,LTC,2017-02-14,0.002609934864740232,6.653243044018806e-05
8,LTC,2017-03-22,0.0033009220028660524,8.414696627855305e-05
9,LTC,2017-04-20,0.01705189500510851,0.0004346863536834715
10,LTC,2017-05-07,0.00515085734659626,0.00013130644798278746
11,LTC,2017-06-11,0.008545844690140969,0.0002178511410951614
