stock_id,Date      ,PriceOfLastTransaction,MaxPrice,MinPrice,AvgPrice,ChangePercentage,TradedQuantity,TotalTradedVolume,TotalTradedVolumeIncludingBlocks,RSI_14             ,RSI_30            ,RSI_60            ,SMA_14            ,SMA_30            ,SMA_60            ,EMA_14            ,EMA_30            ,EMA_60            ,PriceOfLastTransaction_n,MaxPrice_n          ,MinPrice_n          ,AvgPrice_n          ,ChangePercentage_n ,TradedQuantity_n      ,TotalTradedVolume_n   ,TotalTradedVolumeIncludingBlocks_n,RSI_14_n             ,RSI_30_n            ,RSI_60_n           ,SMA_14_n            ,SMA_30_n           ,SMA_60_n           ,EMA_14_n            ,EMA_30_n           ,EMA_60_n
ALK     ,2013-01-10,4225.0                ,4250.0  ,4205.0  ,4213.27 ,-0.04           ,445           ,1874905          ,1874905                         ,64.38660332543876  ,63.05997350653889 ,59.2783812954014  ,4159.142857142857 ,4074.0333333333333,4037.05           ,4157.268459635489 ,4102.8739809798435,4058.468793961184 ,0.2728937728937729      ,0.2931034482758621  ,0.30059332332547    ,0.27143330192547943 ,0.2815023474178404 ,0.022580808849647332  ,0.029266640723401873  ,0.018830417363251653              ,0.6468023222481658   ,0.6692730732126851  ,0.6924023740079618 ,0.3052229886985511  ,0.3065541657365442 ,0.3192121926951893 ,0.3115669632869935  ,0.3179609111199678 ,0.3287850090009715
ALK     ,2013-01-11,4222.0                ,4222.0  ,4222.0  ,4222.0  ,0.21            ,98            ,413756           ,413756                          ,63.905110391753524 ,62.763034625631676,59.10613513942668 ,4172.857142857143 ,4081.433333333333 ,4040.75           ,4165.8993316840915,4110.559530594046 ,4063.830472847703 ,0.27267399267399267     ,0.29117241379310344 ,0.3018085638716134  ,0.27207144909113373 ,0.28267605633802817,0.00497285228598975   ,0.006458592941590035  ,0.004155516234982333              ,0.6419654348900987   ,0.6661215781147607  ,0.6903904491762711 ,0.30622942570188494 ,0.3071109851439579 ,0.31950475412320534,0.31221380498625134 ,0.3185565190692049 ,0.32921936977358296
ALK     ,2013-01-14,4250.0                ,4251.0  ,4250.0  ,4250.82 ,0.68            ,147           ,624870           ,624870                          ,66.42851242495395  ,64.38237546351911 ,60.203704229559996,4179.142857142857 ,4089.766666666667 ,4044.916666666666 ,4177.112754126212 ,4119.55568991056  ,4069.9343917707283,0.27472527472527475     ,0.29317241379310344 ,0.3038101365358496  ,0.27417813881784153 ,0.28488262910798123,0.0074592784289846245 ,0.009754011957316306  ,0.006275818186934837              ,0.6673145325399654   ,0.6833080937265908  ,0.7032106279166279 ,0.3066907093284129  ,0.3077380340261806 ,0.3198342151907909 ,0.31305419622205144 ,0.3192536954938574 ,0.32971386095731076
ALK     ,2013-01-15,4255.0                ,4260.0  ,4251.0  ,4255.64 ,0.11            ,70            ,297895           ,297895                          ,66.87386923642485  ,64.6662256918994  ,60.396730298212006,4190.071428571428 ,4098.266666666666 ,4049.166666666666 ,4187.497720242717 ,4128.294032496975 ,4076.0021166307038,0.2750915750915751      ,0.29379310344827586 ,0.30388162127385804 ,0.2745304720753965  ,0.2822065727699531 ,0.0035520373471355352 ,0.004650041435858244  ,0.002991878084716746              ,0.6717884107228608   ,0.6863206753075283  ,0.7054652729534763 ,0.3074927138154446  ,0.30837762388604767,0.32017026547972827,0.3138324987031574  ,0.3199308918648245 ,0.33020541998461456
ALK     ,2013-01-16,4255.0                ,4256.0  ,4255.0  ,4255.83 ,0.0             ,60            ,255350           ,255350                          ,66.87386923642482  ,64.6662256918994  ,60.396730298212006,4201.142857142857 ,4106.766666666666 ,4053.4            ,4196.498024210356 ,4136.468611045557 ,4081.8708996919927,0.2750915750915751      ,0.29351724137931035 ,0.3041675602258918  ,0.27454436073077726 ,0.28169014084507044,0.0030446034404018876 ,0.003985928198346406  ,0.0025645817114500788             ,0.6717884107228606   ,0.6863206753075283  ,0.7054652729534763 ,0.30830520202126094 ,0.3090172137459148 ,0.32050499792439535,0.3145070275201159  ,0.3205643981473421 ,0.33068086232249866
ALK     ,2013-01-17,4299.0                ,4299.0  ,4280.0  ,4293.87 ,0.89            ,128           ,549615           ,549615                          ,70.82403068230569  ,67.13291615652535 ,62.07100162356167 ,4208.214285714285 ,4116.733333333334 ,4058.366666666667 ,4210.164954315641 ,4146.954507107133 ,4088.989886587337 ,0.2783150183150183      ,0.2964827586206897  ,0.30595467867610265 ,0.2773250157343846  ,0.28586854460093897,0.006495154006190693  ,0.008579306546834383  ,0.005520002260969786              ,0.7114701684875454   ,0.71250034865854    ,0.7250216342284002 ,0.3088241461011049  ,0.30976716420905315,0.32089771551695745,0.31553129717017664 ,0.3213770248770697 ,0.3312575862766033
ALK     ,2013-01-18,4300.0                ,4300.0  ,4295.0  ,4299.12 ,0.12            ,588           ,2527885          ,2527885                         ,70.90893616673586  ,67.18677340256795 ,62.108026071193635,4218.928571428572 ,4126.7            ,4063.366666666667 ,4222.142960406889 ,4156.828409874415 ,4095.9082509615223,0.2783882783882784      ,0.29655172413793107 ,0.3070269497462292  ,0.2777087812120118  ,0.28225352112676055,0.029837113715938498  ,0.03945944039035404   ,0.025388555471505706              ,0.7123230953646391   ,0.7130719506204399  ,0.7254540990642558 ,0.3096104250099595  ,0.3105171146721914 ,0.3212930687980602 ,0.31642899021557847 ,0.32214222388994435,0.33181805738246056
ALK     ,2013-01-21,4400.0                ,4424.0  ,4300.0  ,4371.41 ,1.68            ,172           ,751882           ,751882                          ,77.8505211659526   ,71.94285880213458 ,65.52986409824211 ,4239.428571428572 ,4139.866666666667 ,4070.0333333333333,4245.857232352637 ,4172.516899559937 ,4105.878472241473 ,0.28571428571428575     ,0.30510344827586205 ,0.3073843734362714  ,0.2829930490934729  ,0.2895774647887324 ,0.008727863195818744  ,0.011736626847969816  ,0.0075514502697024005             ,0.7820555096509277   ,0.7635496104548494  ,0.7654229497923524 ,0.3111148386555679  ,0.31150785190610325,0.3218202065061972 ,0.3182062590565103  ,0.3233580366342864 ,0.332625765771927
ALK     ,2013-01-22,4433.0                ,4433.0  ,4400.0  ,4403.68 ,0.74            ,254           ,1118534          ,1118534                         ,79.58197676678294  ,73.26569712239464 ,66.54378075696155 ,4256.071428571428 ,4154.133333333333 ,4077.25           ,4270.809601372285 ,4189.322260878651 ,4116.6037682335555,0.28813186813186814     ,0.3057241379310345  ,0.3145328472371149  ,0.28535192756262145 ,0.2851643192488263 ,0.012888821231034657  ,0.017459942085017423  ,0.01123388227936206               ,0.7994490270232627   ,0.7775892622138555  ,0.7772660245559007 ,0.3123361918939886  ,0.3125813595924684 ,0.32239083307525557,0.3200763172251737  ,0.32466040371194216,0.33349464433631115
ALK     ,2013-01-23,4433.0                ,4433.0  ,4430.0  ,4432.75 ,0.66            ,118           ,523064           ,523064                          ,79.58197676678294  ,73.26569712239464 ,66.54378075696155 ,4278.428571428572 ,4168.4            ,4084.4666666666662,4292.434987855981 ,4205.043405338093 ,4126.977415176718 ,0.28813186813186814     ,0.3057241379310345  ,0.31667738937736795 ,0.28747689183588293 ,0.2847887323943662 ,0.005987720099457045  ,0.008164854306402446  ,0.005253339997328858              ,0.7994490270232627   ,0.7775892622138555  ,0.7772660245559007 ,0.31397689388379846 ,0.31365486727883357,0.32296145964431383,0.32169703430468205 ,0.3258787471071685 ,0.3343350350789123
