stock_id,Date      ,PriceOfLastTransaction,MaxPrice,MinPrice,AvgPrice,ChangePercentage,TradedQuantity,TotalTradedVolume,TotalTradedVolumeIncludingBlocks,RSI_14            ,RSI_30            ,RSI_60            ,SMA_14            ,SMA_30            ,SMA_60            ,EMA_14            ,EMA_30            ,EMA_60            ,PriceOfLastTransaction_n,MaxPrice_n         ,MinPrice_n         ,AvgPrice_n         ,ChangePercentage_n ,TradedQuantity_n      ,TotalTradedVolume_n   ,TotalTradedVolumeIncludingBlocks_n,RSI_14_n            ,RSI_30_n           ,RSI_60_n           ,SMA_14_n           ,SMA_30_n           ,SMA_60_n           ,EMA_14_n           ,EMA_30_n           ,EMA_60_n
KMB     ,2012-03-16,3100.0                ,3100.0  ,3100.0  ,3100.0  ,1.31            ,644           ,1996400          ,1996400                         ,51.73699219928897 ,56.826258501806485,53.40252059838571 ,3159.857142857143 ,3097.0333333333333,2896.616666666667 ,3129.8751486934966,3072.5052934531877,2981.5071833696074,0.2653361087302559      ,0.34065934065934067,0.3445210046677039 ,0.34065934065934067,0.40936244721392523,0.014861995753715499  ,0.025375428666351285  ,0.001765355076405238              ,0.5173699219928897  ,0.5682625850180648 ,0.5340252059838572 ,0.38770913488926484,0.3993629861421547 ,0.37569525357705674,0.3821822498315514 ,0.39861689919734994,0.3913514501372145
KMB     ,2012-03-19,3080.0                ,3099.0  ,3070.0  ,3077.6  ,-0.72           ,193           ,593977           ,593977                          ,49.395781714335044,55.52824930870433 ,52.80227931531004 ,3151.285714285714 ,3106.0333333333333,2904.1            ,3123.2251288676975,3072.988822907821 ,2984.7364560460137,0.26288722909269013     ,0.34054945054945057,0.34118693042898424,0.3381978021978022 ,0.39890822947780413,0.004453983199483061  ,0.007549800136722769  ,0.0005252355801532529             ,0.49395781714335046 ,0.5552824930870434 ,0.5280227931531004 ,0.38665743507944716,0.4005235377050308 ,0.37666585243006395,0.3813702303682482 ,0.39867963074488777,0.39177532318768016
KMB     ,2012-03-20,3071.0                ,3080.0  ,3071.0  ,3079.33 ,0.06            ,460           ,1416494          ,10561294                        ,48.33578323781389 ,54.94401791322677 ,52.53206996570591 ,3140.642857142857 ,3111.733333333333 ,2911.433333333333 ,3116.261778352005 ,3072.8605117524767,2987.564768962538 ,0.2617852332557855      ,0.3384615384615385 ,0.34129806623694153,0.3383879120879121 ,0.40292512102173245,0.010615711252653927  ,0.018004479289378178  ,0.009339027237181016              ,0.48335783237813895 ,0.5494401791322677 ,0.5253206996570591 ,0.38535157448225693,0.4012585536948523 ,0.37761699607220905,0.38051995077560563,0.3986629840705973 ,0.3921465664191228
KMB     ,2012-03-21,3080.0                ,3080.0  ,3050.0  ,3065.48 ,-0.45           ,62            ,190060           ,190060                          ,49.50277443293057 ,55.42913351711315 ,52.77781965431825 ,3132.785714285714 ,3117.733333333333 ,2918.766666666667 ,3111.4268745717377,3073.3211238974786,2990.595432275242 ,0.26288722909269013     ,0.3384615384615385 ,0.33896421426983775,0.33686593406593407,0.40029869193531775,0.001430813255792486  ,0.0024157753818506936 ,0.00016806420848606467            ,0.49502774432930574 ,0.5542913351711315 ,0.5277781965431825 ,0.3843875163232575 ,0.40203225473676973,0.3785681397143543 ,0.37992957118642845,0.3987227424005063 ,0.3925443700832964
KMB     ,2012-03-22,3050.0                ,3080.0  ,3050.0  ,3055.82 ,-0.32           ,538           ,1644030          ,1644030                         ,45.78989532360915 ,53.444863553796864,51.867557547038075,3122.785714285714 ,3122.766666666667 ,2925.6            ,3103.2366246288398,3071.8165352589317,2992.543123020316 ,0.2592139096363414      ,0.3384615384615385 ,0.33896421426983775,0.3358043956043956 ,0.40096817385930583,0.012415766638973506  ,0.020896596869535915  ,0.0014537651303659102             ,0.45789895323609153 ,0.5344486355379686 ,0.5186755754703808 ,0.3831605332118036 ,0.4026813039441561 ,0.37945443265362594,0.3789294775720981 ,0.3985275419369162 ,0.3928000231978538
KMB     ,2012-03-23,3050.0                ,3050.0  ,3050.0  ,3050.0  ,-0.19           ,11            ,33550            ,33550                           ,45.78989532360915 ,53.444863553796864,51.867557547038075,3112.785714285714 ,3126.766666666667 ,2932.433333333333 ,3096.138408011661 ,3070.4090168551293,2994.4269550524364,0.2592139096363414      ,0.33516483516483514,0.33896421426983775,0.33516483516483514,0.4016376557832939 ,0.00025385396473737653,0.0004264404086135472 ,2.966723242506298e-05             ,0.45789895323609153 ,0.5344486355379686 ,0.5186755754703808 ,0.38193355010034974,0.4031971046387677 ,0.3803407255928975 ,0.3780627297730118 ,0.39834493505162216,0.3930472942430813
KMB     ,2012-03-26,3000.0                ,3000.0  ,3000.0  ,3000.0  ,-1.64           ,348           ,1044000          ,1044000                         ,39.99197506354066 ,50.23723785036507 ,50.37016515812173 ,3102.0            ,3127.433333333333 ,2938.433333333333 ,3083.319953610106 ,3065.866499638669 ,2994.6096778376027,0.25309171054242685     ,0.32967032967032966,0.33340742387197153,0.32967032967032966,0.3941703574003502 ,0.008031016338964275  ,0.01326985951095509   ,0.0009231770686070268             ,0.3999197506354066  ,0.5023723785036507 ,0.5037016515812173 ,0.3806101611729959 ,0.40328307142120284,0.38111893402737995,0.3764974961742868 ,0.39775560356007544,0.39307127836337685
KMB     ,2012-03-27,2921.0                ,2921.0  ,2921.0  ,2921.0  ,-2.63           ,50            ,146050           ,146050                          ,32.90304825865035 ,45.74934069779882 ,48.13722443087502 ,3082.214285714286 ,3124.833333333333 ,2943.116666666667 ,3061.677293128759 ,3056.520273855529 ,2992.196245777353 ,0.24341863597404187     ,0.320989010989011  ,0.32462769504334293,0.320989010989011  ,0.38907199505613355,0.001153881657897166  ,0.0018563821662595699 ,0.00012914751999047535            ,0.3290304825865035  ,0.45749340697798824,0.48137224430875025,0.37818248744533356,0.40294780096970534,0.38172636894429546,0.373854757955622  ,0.39654305445599025,0.39275449222854725
KMB     ,2012-03-28,2920.0                ,2921.0  ,2920.0  ,2920.14 ,-0.03           ,367           ,1071690          ,1071690                         ,32.82373364536062 ,45.695885442828256,48.10977020198886 ,3064.357142857143 ,3122.166666666666 ,2947.7833333333333,3042.786987378257 ,3047.712514251947 ,2989.829155751866 ,0.2432961919921636      ,0.320989010989011  ,0.32451655923538564,0.3208945054945055 ,0.4024616335358946 ,0.0084694913689652    ,0.01362181584223703   ,0.0009476624833864604             ,0.3282373364536062  ,0.45695885442828255,0.4810977020198886 ,0.37599144617488023,0.40260393383996423,0.3823316421711151 ,0.37154810378932196,0.3954003642124498 ,0.3924437889308169
KMB     ,2012-03-29,2900.0                ,2920.0  ,2900.0  ,2912.22 ,-0.27           ,775           ,2256970          ,2256970                         ,31.203651007958612,44.61728169376505 ,47.55809697596548 ,3045.0714285714284,3117.166666666666 ,2952.2833333333333,3023.74872239449  ,3038.182674622789 ,2986.8839375304933,0.2408473123545978      ,0.3208791208791209 ,0.32229384307623915,0.3200241758241758 ,0.40122566690699357,0.017885165697406075  ,0.0286874279889275    ,0.001995769107791189              ,0.3120365100795861  ,0.44617281693765054,0.47558096975965486,0.37362512160279054,0.4019591829716997 ,0.3829152984969769 ,0.36922338264272203,0.3941639936418547 ,0.3920572007554357
KMB     ,2012-03-30,2980.0                ,2988.0  ,2980.0  ,2980.16 ,2.33            ,248           ,739080           ,739080                          ,43.26612316903285 ,49.54527304428894 ,49.89524797275589 ,3032.9285714285716,3113.166666666666 ,2957.616666666667 ,3017.915559408558 ,3034.4289536793835,2986.658234660641 ,0.25064283090486106     ,0.3283516483516484 ,0.33118470771282504,0.32749010989010985,0.4146153053867546 ,0.005723253023169944  ,0.00939414537103131   ,0.0006535456971897331             ,0.43266123169032855 ,0.4954527304428894 ,0.4989524797275589 ,0.3721352135388823 ,0.4014433822770881 ,0.38360703932762796,0.36851110779222895,0.3936769980275263 ,0.39202757508627434
