,symbol,date,rmse_norm,rmse_denorm
0,DOGE_with_indicators,2016-07-29,0.004289410036543123,5.919408547124481e-09
1,DOGE_with_indicators,2016-08-26,0.014269817134608426,1.9692355535517e-08
2,DOGE_with_indicators,2016-09-09,0.02632994474708175,3.633530946048268e-08
3,DOGE_with_indicators,2016-10-29,0.010602910233580565,1.4632026149629386e-08
4,DOGE_with_indicators,2016-11-24,0.001830929863280123,2.526679357106318e-09
5,DOGE_with_indicators,2016-12-14,0.019785152505273407,2.7303508861878053e-08
6,DOGE_with_indicators,2017-01-27,0.015079225426998716,2.0809335966550867e-08
7,DOGE_with_indicators,2017-02-14,0.02054354602444,2.8350089059858883e-08
8,DOGE_with_indicators,2017-03-22,0.0015028705955415778,2.073972483703988e-09
9,DOGE_with_indicators,2017-04-20,0.019745268899461516,2.7248442141062692e-08
10,DOGE_with_indicators,2017-05-07,0.0851747708908025,1.1754116247844652e-07
11,DOGE_with_indicators,2017-06-11,0.003224010916723641,4.449229434540051e-09
