,configuration,Average_RMSE_norm,Average_RMSE_denorm
0,LSTM_64_neurons_30_days,0.11175817288472993,93.05799070374118
1,LSTM_64_neurons_200_days,0.08214099436556192,7.688116086236797
2,LSTM_64_neurons_100_days,0.09213003683112683,52.80615825619216
3,LSTM_512_neurons_30_days,0.08382223547715002,43.261845848020016
4,LSTM_512_neurons_200_days,0.1047055064362962,69.16395691224488
5,LSTM_512_neurons_100_days,0.10507233975754783,118.56180651556231
6,LSTM_32_neurons_30_days,0.1003618469375706,60.09333060860485
7,LSTM_32_neurons_200_days,0.11711511073997805,33.119744779554885
8,LSTM_32_neurons_100_days,0.1137825822662332,35.254204986801525
9,LSTM_256_neurons_30_days,0.08459138940299488,71.75021520977738
10,LSTM_256_neurons_200_days,0.132937532758047,112.03026740689457
11,LSTM_256_neurons_100_days,0.11045703916141676,25.506228413946165
12,LSTM_128_neurons_30_days,0.09313371515298606,84.27371475689512
13,LSTM_128_neurons_200_days,0.22200554053933969,55.38666400756637
14,LSTM_128_neurons_100_days,0.07734057359764276,22.910860263233328
15,LSTM_1024_neurons_30_days,0.07749285033301538,41.11387488586799
16,LSTM_1024_neurons_200_days,0.0863639265264304,64.38973610206378
17,LSTM_1024_neurons_100_days,0.0980531146879409,91.96748390839214
