,symbol,date,rmse_norm,rmse_denorm
0,XLM,2016-07-29,0.011362469122169296,3.333748867030956e-07
1,XLM,2016-08-26,0.002236134664046957,6.560814038326477e-08
2,XLM,2016-09-09,0.001866427636829121,5.4760956628597254e-08
3,XLM,2016-10-29,0.02107607153762988,6.183719784679125e-07
4,XLM,2016-11-24,0.007101666073085648,2.083629521355031e-07
5,XLM,2016-12-14,0.02469906315014489,7.24670545771369e-07
6,XLM,2017-01-27,0.01096740069950853,3.2178358288016166e-07
7,XLM,2017-02-14,0.0031075697714728276,9.117607209947904e-08
8,XLM,2017-03-22,0.012349326340653048,3.623292580177076e-07
9,XLM,2017-04-20,0.004786101284791754,1.4042409455461887e-07
10,XLM,2017-05-07,1.0402266023592959,3.052024679672904e-05
11,XLM,2017-06-11,0.003552778813817825,1.042383281514045e-07
