,symbol,date,rmse_norm,rmse_denorm
0,XLM,2016-07-29,0.0575060009214857,1.6872257350210568e-06
1,XLM,2016-08-26,0.02397994633101244,7.035716073261572e-07
2,XLM,2016-09-09,0.021441606260028584,6.290966289828065e-07
3,XLM,2016-10-29,0.03538859961141757,1.038301371060079e-06
4,XLM,2016-11-24,0.01777395222592531,5.214876534143694e-07
5,XLM,2016-12-14,0.020168018637157753,5.917297052132201e-07
6,XLM,2017-01-27,0.015527517377984863,4.5557730209489814e-07
7,XLM,2017-02-14,0.007742743598882572,2.2717190536088322e-07
8,XLM,2017-03-22,0.007067040717400656,2.073470407357672e-07
9,XLM,2017-04-20,0.003113565150071905,9.135185317310964e-08
10,XLM,2017-05-07,0.5439788462681762,1.596033940986963e-05
11,XLM,2017-06-11,0.007322237637064133,2.148333316086795e-07
