,symbol,date,rmse_norm,rmse_denorm
0,XEM,2016-07-29,0.008514600605484202,1.0305217104498303e-06
1,XEM,2016-08-26,0.0022775616223168066,2.75653039570897e-07
2,XEM,2016-09-09,0.0003561088348246477,4.310004329541619e-08
3,XEM,2016-10-29,0.00044725755018596575,5.413181392475937e-08
4,XEM,2016-11-24,0.00030488242241092506,3.6899839827092486e-08
5,XEM,2016-12-14,0.001113856288716096,1.3480978819541675e-07
6,XEM,2017-01-27,0.0008991026317793568,1.0881834492902253e-07
7,XEM,2017-02-14,0.003421697298657808,4.1412785724969655e-07
8,XEM,2017-03-22,0.0005263871234980205,6.370853697881472e-08
9,XEM,2017-04-20,0.009956077769266936,1.204984493250957e-06
10,XEM,2017-05-07,0.17054178617143,2.0640673442743715e-05
11,XEM,2017-06-11,0.06456808219771148,7.814681266993289e-06
