,configuration,RMSE_normalized,RMSE_denormalized
0,LSTM_128_neurons_100_days,0.12973989614145753,0.003077431305050851
1,LSTM_128_neurons_200_days,0.04575403102533815,0.0010852857518196116
2,LSTM_128_neurons_30_days,0.0078068219791174185,0.0001851779383420932
3,LSTM_256_neurons_100_days,0.07230974801676271,0.00171518763780594
4,LSTM_256_neurons_200_days,0.15243540636403566,0.003615767040550708
5,LSTM_256_neurons_30_days,0.05431510575907228,0.0012883550512790692
