symbol,date,observed,predicted
LTC,2016-07-29,4.07349745,4.078740889999999
LTC,2016-08-26,3.8296357000000003,3.8064609000000003
LTC,2016-09-09,3.98012292,3.9670365599999995
LTC,2016-10-29,4.0616309500000005,4.09594855
LTC,2016-11-24,3.8772896299999995,3.88537804
LTC,2016-12-14,3.612278,3.6270314999999997
LTC,2017-01-27,3.870330159999999,3.84095384
LTC,2017-02-14,3.815558560000001,3.8659755600000003
LTC,2017-03-22,3.953220480000001,4.04202168
LTC,2017-04-20,10.994239199999997,12.01318727
LTC,2017-05-07,29.519005500000002,26.0992155
LTC,2017-06-11,33.6297195,32.410605
