symbol,date,observed,predicted
BTC_normalized,2016-07-29,0.22741381956166906,0.24486419401695164
BTC_normalized,2016-08-26,0.19783485163432432,0.21408314762356392
BTC_normalized,2016-09-09,0.21660551610608117,0.2215197538745958
BTC_normalized,2016-10-29,0.24047516078179715,0.24450324259989936
BTC_normalized,2016-11-24,0.25423752458810567,0.27098838409577
BTC_normalized,2016-12-14,0.26963560776216855,0.28540815469285835
BTC_normalized,2017-01-27,0.31836539668810426,0.3315002195655276
BTC_normalized,2017-02-14,0.3486698009235363,0.3760035151685722
BTC_normalized,2017-03-22,0.35644382751356707,0.4170976484889727
BTC_normalized,2017-04-20,0.4309196300274829,0.4461658982535724
BTC_normalized,2017-05-07,0.541583543756365,0.5310302936824753
BTC_normalized,2017-06-11,0.8662058286017216,0.9773324100185484
