symbol,date,observed,predicted
LTC_normalized,2016-07-29,0.08874087470036542,0.0986948954350837
LTC_normalized,2016-08-26,0.08274816905136499,0.08975612244881566
LTC_normalized,2016-09-09,0.08658922430926982,0.09367014414990824
LTC_normalized,2016-10-29,0.088283908073254,0.09368367080256905
LTC_normalized,2016-11-24,0.08360718918875562,0.09395167234093765
LTC_normalized,2016-12-14,0.0785194030266406,0.0890724023893455
LTC_normalized,2017-01-27,0.0837475595916843,0.09250203550282128
LTC_normalized,2017-02-14,0.0827872997657968,0.09422267823531798
LTC_normalized,2017-03-22,0.08580870535924273,0.09962497880265775
LTC_normalized,2017-04-20,0.2372856216518491,0.2639410362609829
LTC_normalized,2017-05-07,0.5360376076408054,0.472561122029135
LTC_normalized,2017-06-11,0.6803269651810152,0.6890591175361706
