,configuration,RMSE_normalized,RMSE_denormalized
0,LSTM_128_neurons_100_days,0.24579514575780625,7.211629866895965e-06
1,LSTM_128_neurons_200_days,0.4055144413035989,1.189779378012754e-05
2,LSTM_128_neurons_30_days,0.062248326964986334,1.826365763798822e-06
3,LSTM_256_neurons_100_days,0.7079796417277933,2.077212284905836e-05
4,LSTM_256_neurons_200_days,0.2170127256435037,6.367152860667553e-06
5,LSTM_256_neurons_30_days,0.1998357103544592,5.8631798254908065e-06
