symbol,date,observed,predicted
XMR_normalized,2016-07-29,0.030213892004596007,0.03573778422255718
XMR_normalized,2016-08-26,0.0727585369785736,0.06153198138794434
XMR_normalized,2016-09-09,0.21503412601814512,0.20693882484842208
XMR_normalized,2016-10-29,0.08494544377674448,0.11775789715346766
XMR_normalized,2016-11-24,0.1299561210228761,0.1364454829140269
XMR_normalized,2016-12-14,0.14612349230792396,0.15180527663077553
XMR_normalized,2017-01-27,0.2171411312476116,0.22526131405446556
XMR_normalized,2017-02-14,0.23279090117448525,0.24013246543664474
XMR_normalized,2017-03-22,0.3737286198320703,0.37927824893261225
XMR_normalized,2017-04-20,0.35679564493251337,0.3985967435308985
XMR_normalized,2017-05-07,0.4206914618308416,0.46082694132154467
XMR_normalized,2017-06-11,0.9985934578932477,0.9294545660996076
