symbol,date,observed,predicted
XRP_normalized,2016-07-29,0.009777758529887286,0.02111669380391586
XRP_normalized,2016-08-26,0.009497287490990903,0.0205289626016054
XRP_normalized,2016-09-09,0.00913021486371477,0.020021351779316875
XRP_normalized,2016-10-29,0.014819506218649114,0.028541641757104715
XRP_normalized,2016-11-24,0.011624139988344105,0.02548516547858701
XRP_normalized,2016-12-14,0.011032165600903374,0.022616318505070458
XRP_normalized,2017-01-27,0.010367077271098245,0.02215263602326803
XRP_normalized,2017-02-14,0.009694561989276129,0.02133395682758317
XRP_normalized,2017-03-22,0.013390157384610414,0.023462733170137005
XRP_normalized,2017-04-20,0.08265837667064331,0.11291394218640469
XRP_normalized,2017-05-07,0.3854786636030988,0.2409324676632377
XRP_normalized,2017-06-11,0.8277638580721274,0.9205615358751077
