symbol,date,observed,predicted
XEM_normalized,2016-07-29,0.028573617956710994,0.03200762507259212
XEM_normalized,2016-08-26,0.024294562170645583,0.028560859424082083
XEM_normalized,2016-09-09,0.025053805478260308,0.026577331773024952
XEM_normalized,2016-10-29,0.014715022621625011,0.01724352450748528
XEM_normalized,2016-11-24,0.015111379829609185,0.018377287759453045
XEM_normalized,2016-12-14,0.014533941141741707,0.01551505944936556
XEM_normalized,2017-01-27,0.020373963805741642,0.01848575985765104
XEM_normalized,2017-02-14,0.02910648839296392,0.03050088825888323
XEM_normalized,2017-03-22,0.06484529963155547,0.057632104862053606
XEM_normalized,2017-04-20,0.11910207646974287,0.11233156009517656
XEM_normalized,2017-05-07,0.419294021068187,0.279816972227814
XEM_normalized,2017-06-11,0.9444876682538573,0.9737051225818127
