symbol,date,observed,predicted
DOGE_normalized,2016-07-29,0.06373474149762279,0.03322634359353711
DOGE_normalized,2016-08-26,0.06273120895357664,0.03205184480809517
DOGE_normalized,2016-09-09,0.06226042633389137,0.03068559337871895
DOGE_normalized,2016-10-29,0.059391351775401134,0.029727435292914287
DOGE_normalized,2016-11-24,0.05688755817078806,0.02962505499603258
DOGE_normalized,2016-12-14,0.05798485703111964,0.029603405190645676
DOGE_normalized,2017-01-27,0.05574471567111785,0.02820837639197528
DOGE_normalized,2017-02-14,0.05272276124911875,0.028398498185568822
DOGE_normalized,2017-03-22,0.06386225786377618,0.030932600669754475
DOGE_normalized,2017-04-20,0.12311939567900355,0.058304545101416826
DOGE_normalized,2017-05-07,0.31379218064634107,0.10736988981277698
DOGE_normalized,2017-06-11,0.9753640651949624,0.4255172009709581
