symbol,date,observed,predicted
XEM,2016-07-29,0.006534637099999999,0.006685386
XEM,2016-08-26,0.005851637,0.005793700000000001
XEM,2016-09-09,0.006293915999999999,0.005895093599999999
XEM,2016-10-29,0.0034746570000000004,0.0038392815000000005
XEM,2016-11-24,0.0035515473,0.0035221348999999996
XEM,2016-12-14,0.0034010700000000004,0.0034010700000000004
XEM,2017-01-27,0.004993974399999999,0.004773652
XEM,2017-02-14,0.006856712,0.007058380000000001
XEM,2017-03-22,0.01619316,0.014939496000000003
XEM,2017-04-20,0.028723688,0.033057002999999995
XEM,2017-05-07,0.09746401500000001,0.1150293
XEM,2017-06-11,0.21438574499999996,0.222711405
