DateTime,Open,High,Low,Close,Volume,VolumeBTC,Symbol,RSI_14,SMA_14,EMA_14,RSI_30,SMA_30,EMA_30,RSI_60,SMA_60,EMA_60,Open_normalized,High_normalized,Low_normalized,Close_normalized,Volume_normalized,VolumeBTC_normalized,RSI_14_normalized,SMA_14_normalized,EMA_14_normalized,RSI_30_normalized,SMA_30_normalized,EMA_30_normalized,RSI_60_normalized,SMA_60_normalized,EMA_60_normalized
2015-01-25,0.00117,0.001179,0.001,0.00117,2049.5,2.28,XMR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006745362563237774,0.005264191710862308,0.0015738492778663224,0.006745362563237774,0.00017052702059094474,9.823955641689196e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-26,0.00117,0.001245,0.0011,0.001222,2170.38,2.5,XMR,100.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.006745362563237774,0.007857002553525831,0.006538673498264799,0.008937605396290044,0.00019005126451395276,1.186288983147375e-05,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2015-01-27,0.001222,0.001252,0.001167,0.001251,993.72,1.22,XMR,100.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.008937605396290044,0.008131997642899243,0.009865105725931779,0.010160202360876891,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2015-01-28,0.00132,0.001362,0.001263,0.00135,52914.33,69.09,XMR,100.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.013069139966273187,0.012453349047338441,0.014631336977514307,0.014333895446880268,0.008386090786493789,0.0006290111975485339,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2015-01-29,0.00135,0.00139,0.001263,0.001302,55556.77,71.96,XMR,93.99873306586944,0.0,0.0,97.05872225814228,0.0,0.0,98.49622996648745,0.0,0.0,0.014333895446880268,0.01355332940483206,0.014631336977514307,0.012310286677908934,0.008812891275506968,0.0006556100208425413,0.9399873306586944,0.0,0.0,0.9705872225814228,0.0,0.0,0.9849622996648745,0.0,0.0
2015-01-30,0.001302,0.00134,0.0012779999999999998,0.001318,20317.64,26.39,XMR,94.12465979759607,0.0,0.0,97.08822168163869,0.0,0.0,98.5038544879317,0.0,0.0,0.012310286677908934,0.011589078766450607,0.015376060610574081,0.012984822934232712,0.003121152611091107,0.00023327260707671426,0.9412465979759607,0.0,0.0,0.9708822168163869,0.0,0.0,0.9850385448793171,0.0,0.0
2015-01-31,0.001318,0.001358,0.001281,0.0013449999999999998,12017.6,15.79,XMR,94.33941481668332,0.0,0.0,97.1382700996195,0.0,0.0,98.51675675152781,0.0,0.0,0.012984822934232712,0.012296208996267932,0.015525005337186044,0.014123102866779078,0.0017805503151718197,0.0001350330506598223,0.9433941481668332,0.0,0.0,0.9713827009961951,0.0,0.0,0.9851675675152781,0.0,0.0
2015-02-01,0.0013449999999999998,0.0013449999999999998,0.0012289999999999998,0.00126,30560.92,38.96,XMR,83.98489693764292,0.0,0.0,91.99441070690058,0.0,0.0,95.87062549212028,0.0,0.0,0.014123102866779078,0.011785503830288743,0.012943296742578825,0.010539629005059017,0.004775622310724375,0.0003497698923748588,0.8398489693764292,0.0,0.0,0.9199441070690059,0.0,0.0,0.9587062549212029,0.0,0.0
2015-02-02,0.00126,0.0013,0.001219,0.0013,66019.68,81.9,XMR,84.82470151118167,0.0,0.0,92.19538103127468,0.0,0.0,95.92301687254542,0.0,0.0,0.010539629005059017,0.010017678255745434,0.012446814320538985,0.01222596964586846,0.01050283507915091,0.0007477327746900797,0.8482470151118168,0.0,0.0,0.9219538103127468,0.0,0.0,0.9592301687254542,0.0,0.0
2015-02-03,0.0013,0.001312,0.001197,0.001285,12472.18,15.63,XMR,83.07441052174755,0.0,0.0,91.30717191596176,0.0,0.0,95.46126082969708,0.0,0.0,0.01222596964586846,0.010489098408956989,0.011354552992051313,0.011593591905564915,0.00185397297237335,0.00013355018943088807,0.8307441052174755,0.0,0.0,0.9130717191596176,0.0,0.0,0.9546126082969708,0.0,0.0
2015-02-04,0.001285,0.001309,0.0012369999999999998,0.001253,10048.48,12.6,XMR,79.33276656303147,0.0,0.0,89.40835400198587,0.0,0.0,94.47488272424441,0.0,0.0,0.011593591905564915,0.0103712433706541,0.013340482680210701,0.010244519392917366,0.0014625028367330909,0.00010546850490794629,0.7933276656303148,0.0,0.0,0.8940835400198587,0.0,0.0,0.9447488272424441,0.0,0.0
2015-02-05,0.001253,0.001262,0.001182,0.001204,6991.44,8.5,XMR,73.87398117426528,0.0,0.0,86.56007458373259,0.0,0.0,92.97924314098219,0.0,0.0,0.010244519392917366,0.008524847770575529,0.010609829358991553,0.008178752107925798,0.0009687371629872898,6.747018591650695e-05,0.7387398117426528,0.0,0.0,0.8656007458373258,0.0,0.0,0.9297924314098219,0.0,0.0
2015-02-06,0.001204,0.001252,0.00118,0.001214,6891.62,8.29,XMR,74.26123724178542,0.0,0.0,86.64976330184736,0.0,0.0,93.00222858226124,0.0,0.0,0.008178752107925798,0.008131997642899243,0.010510532874583582,0.008600337268128158,0.0009526144790991805,6.552393055353077e-05,0.7426123724178543,0.0,0.0,0.8664976330184736,0.0,0.0,0.9300222858226124,0.0,0.0
