stock_id,Date      ,PriceOfLastTransaction,MaxPrice,MinPrice,AvgPrice ,ChangePercentage,TradedQuantity,TotalTradedVolume,TotalTradedVolumeIncludingBlocks,RSI_14            ,SMA_14            ,EMA_14            ,RSI_30            ,SMA_30            ,EMA_30            ,RSI_60            ,SMA_60            ,EMA_60            ,PriceOfLastTransaction_normalized,MaxPrice_normalized ,MinPrice_normalized ,AvgPrice_normalized ,ChangePercentage_normalized,TradedQuantity_normalized,TotalTradedVolume_normalized,TotalTradedVolumeIncludingBlocks_normalized,RSI_14_normalized  ,SMA_14_normalized    ,EMA_14_normalized    ,RSI_30_normalized  ,SMA_30_normalized    ,EMA_30_normalized    ,RSI_60_normalized  ,SMA_60_normalized   ,EMA_60_normalized
MPT     ,2005-03-22,21502.0               ,22000.0 ,21502.0 ,21791.09 ,-4.63           ,11            ,239702           ,239702                          ,60.8264843411757  ,20934.928571428565,20370.708106410206,62.93591441287119 ,17970.9           ,18506.93907337683 ,63.254626872730675,15337.316666666668,16469.047578874182,0.12161373390557939              ,0.12359550561797754 ,0.12357542284725775 ,0.12437963125424448 ,0.48983870967741927        ,0.006462984723854289     ,0.005075290254634737        ,0.001660599720481209                       ,0.608264843411757  ,0.12347394837828508  ,0.12190820806888665  ,0.629359144128712  ,0.10868450755844648  ,0.11581413054319724  ,0.6325462687273068 ,0.09623067193915619 ,0.10805819636717004
MPT     ,2005-03-23,23000.0               ,23000.0 ,22000.0 ,22422.92 ,2.9             ,102           ,2271490          ,2271490                         ,64.77027525843367 ,21099.214285714286,20721.28035888885 ,65.56336198585325 ,18270.9           ,18796.813971868647,65.28448275418506 ,15517.316666666668,16683.17716645208 ,0.13018597997138767              ,0.12921348314606743 ,0.12643750826154174 ,0.12798600351076625 ,0.6112903225806451         ,0.059929494712103404     ,0.04809501406121041         ,0.015736354553052796                       ,0.6477027525843367 ,0.12444290347816965  ,0.12400620264399403  ,0.6556336198585325 ,0.1104988492034133   ,0.11762813172416085  ,0.6528448275418507 ,0.09736004295792727 ,0.10946316267816633
MPT     ,2005-03-24,22500.0               ,22500.0 ,22500.0 ,22500.0  ,0.34            ,40            ,900000           ,900000                          ,62.51936937615114 ,21063.571428571428,20958.442977703668,63.998594422365606,18570.733333333334,19035.729199490026,64.08320470792178 ,15687.316666666668,16873.892669191355,0.1273247496423462               ,0.12640449438202248 ,0.1293110879947586  ,0.12842596231856693 ,0.57                       ,0.023501762632197415     ,0.019055999654451206        ,0.006234990731963388                       ,0.6251936937615115 ,0.12423268234997731  ,0.12542549890653     ,0.6399859442236561 ,0.11231218288079955  ,0.11912323360193731  ,0.6408320470792178 ,0.09842667114232219 ,0.11071450238961995
MPT     ,2005-03-28,22500.0               ,0.0     ,0.0     ,22500.0  ,0.0             ,0             ,0                ,0                               ,62.51936937615113 ,20956.428571428565,21163.983914009845,63.998594422365635,18854.066666666666,19259.230541458408,64.08320470792177 ,15857.316666666668,17058.355204627704,0.1273247496423462               ,0.0                 ,0.0                 ,0.12842596231856693 ,0.564516129032258          ,0.0                      ,0.0                         ,0.0                                        ,0.6251936937615113 ,0.12360075511092215  ,0.1266555556673945   ,0.6399859442236564 ,0.11402572776771264  ,0.12052187729405073  ,0.6408320470792177 ,0.0994932993267171  ,0.1119248145695505
MPT     ,2005-03-29,21502.0               ,21650.0 ,21502.0 ,21576.0  ,-4.11           ,8             ,172608           ,172608                          ,57.908223918529885,20856.571428571428,21209.0527254752  ,60.900797021336146,19070.8           ,19403.92534523529 ,61.73944023689381 ,16010.683333333332,17204.048476607124,0.12161373390557939              ,0.12162921348314608 ,0.12357542284725775 ,0.12315193613268445 ,0.49822580645161285        ,0.004700352526439483     ,0.0036546866537283487       ,0.0011957880891808183                      ,0.5790822391852989 ,0.12301179892412281  ,0.12692526931783982  ,0.6090079702133615 ,0.1153364888094431   ,0.12142735943926647  ,0.6173944023689382 ,0.10045556526326631 ,0.11288075037078789
MPT     ,2005-03-30,22000.0               ,22000.0 ,22000.0 ,22000.0  ,1.97            ,26            ,572000           ,572000                          ,59.505048259305106,20951.428571428565,21314.5123620785  ,61.852898758980295,19304.13333333333 ,19571.414032639463,62.436410448851525,16174.016666666665,17361.292788849514,0.12446351931330472              ,0.12359550561797754 ,0.12643750826154174 ,0.125572052044821   ,0.5962903225806451         ,0.01527614571092832      ,0.01211114644705121         ,0.003962682998536731                       ,0.595050482593051  ,0.12357126517309958  ,0.12755639098797258  ,0.618528987589803  ,0.11674764342219505  ,0.12247548288262075  ,0.6243641044885153 ,0.10148036489141044 ,0.11391247589641602
MPT     ,2005-03-31,20000.0               ,22000.0 ,20000.0 ,20402.91 ,-7.26           ,85            ,1740042          ,1740042                         ,51.15462194092503 ,21047.85714285714 ,21139.244047134704,56.17604501549933 ,19470.8           ,19599.06474021111 ,58.11402872060493 ,16304.016666666665,17447.80777937904 ,0.11301859799713877              ,0.12359550561797754 ,0.11494318932867431 ,0.11645614892662721 ,0.44741935483870965        ,0.0499412455934195       ,0.03684248861192287         ,0.012054606381363376                       ,0.5115462194092504 ,0.12413999968824922  ,0.12650750029185936  ,0.5617604501549933 ,0.11775561100273217  ,0.122648517582936    ,0.5811402872060493 ,0.10229602173830067 ,0.11448012583431136
MPT     ,2005-04-04,22000.0               ,22000.0 ,22000.0 ,22000.0  ,7.83            ,70            ,1540000          ,1540000                         ,57.5388681404444  ,21405.0           ,21254.01150751674 ,59.97224688817407 ,19694.13333333333 ,19753.963789229747,60.868215738572225,16465.683333333334,17597.059983333824,0.12446351931330472              ,0.12359550561797754 ,0.12643750826154174 ,0.125572052044821   ,0.6908064516129031         ,0.041128084606345476     ,0.03260693274206095         ,0.010668761919137354                       ,0.575388681404444  ,0.12624642381843298  ,0.12719432449878953  ,0.5997224688817407 ,0.1191062875606519   ,0.12361785662992451  ,0.6086821573857223 ,0.10331036422738213 ,0.11545941282015183
MPT     ,2005-04-05,21400.0               ,22000.0 ,21400.0 ,21957.5  ,-0.19           ,40            ,878300           ,878300                          ,55.219021191249865,21683.571428571428,21273.47663984784 ,58.40390300253599 ,19897.466666666667,19860.15967379557 ,59.671498303361645,16614.016666666666,17721.746541257304,0.12103004291845493              ,0.12359550561797754 ,0.12298921258168151 ,0.1253294696715526  ,0.5614516129032258         ,0.023501762632197415     ,0.01859653832944944         ,0.006084658177648271                       ,0.5521902119124986 ,0.1278894346399763   ,0.12731081330172717  ,0.58403903002536   ,0.12033600800890719  ,0.12428241731116377  ,0.5967149830336165 ,0.104241049603962   ,0.11627751747956912
MPT     ,2005-04-06,21400.0               ,22000.0 ,21400.0 ,21673.08 ,-1.3            ,26            ,563500           ,563500                          ,55.219021191249865,21876.428571428565,21290.346421201466,58.40390300253597 ,20101.466666666667,19959.504210970048,59.671498303361645,16762.35          ,17842.34501531444 ,0.12103004291845493              ,0.12359550561797754 ,0.12298921258168151 ,0.12370605135143496 ,0.5435483870967741         ,0.01527614571092832      ,0.011931173116981393        ,0.0039037969749570766                      ,0.5521902119124986 ,0.1290269036702755   ,0.1274117702642732   ,0.5840390300253597 ,0.12156976032748462  ,0.1249041031097424   ,0.5967149830336165 ,0.10517173498054187 ,0.11706879903539895
MPT     ,2005-04-07,20000.0               ,20000.0 ,20000.0 ,20000.0  ,-7.72           ,98            ,1960000          ,1960000                         ,49.83691343999556 ,21836.35714285714 ,21118.300231707934,54.83135852226629 ,20264.8           ,19962.11684252037 ,56.97013942780013 ,16887.35          ,17913.08780169757 ,0.11301859799713877              ,0.11235955056179776 ,0.11494318932867431 ,0.11415641094983726 ,0.43999999999999995        ,0.057579318448883664     ,0.041499732580804846        ,0.013578424260720267                       ,0.4983691343999556 ,0.12879056288286891  ,0.12638216233131985  ,0.5483135852226629 ,0.12255756855641098  ,0.12492045263411435  ,0.5697013942780013 ,0.10595602041024402 ,0.11753296296873744
MPT     ,2005-04-11,20000.0               ,20000.0 ,18000.0 ,19300.0  ,-3.5            ,9             ,173700           ,173700                          ,49.83691343999558 ,21693.14285714286 ,20969.193534146874,54.83135852226629 ,20425.2           ,19964.56091719648 ,56.97013942780012 ,17007.35          ,17981.511152461586,0.11301859799713877              ,0.11235955056179776 ,0.10344887039580689 ,0.11016093656659297 ,0.5080645161290323         ,0.005287896592244418     ,0.0036778079333090827       ,0.0012033532112689339                      ,0.4983691343999558 ,0.12794588680666524  ,0.12548983545609366  ,0.5483135852226629 ,0.12352763655591992  ,0.1249357473504623   ,0.5697013942780013 ,0.10670893442275807 ,0.11798190841245831
MPT     ,2005-04-12,18700.0               ,19001.0 ,18700.0 ,18736.96 ,-2.92           ,64            ,1201007          ,1201007                         ,45.146319890287245,21393.14285714286 ,20666.634396260626,51.695988425455006,20541.866666666665,19882.976341893478,54.59787253742457 ,17105.683333333334,18005.068163856293,0.1055793991416309               ,0.10674719101123596 ,0.10747188202231048 ,0.10694720528553314 ,0.5174193548387096         ,0.03760282021151586      ,0.02542932108554831         ,0.008320297237803503                       ,0.45146319890287245,0.1261764905373109   ,0.12367917467091588  ,0.5169598842545501 ,0.12423321386229588  ,0.124425201191695    ,0.5459787253742457 ,0.10732590562745711 ,0.11813647279457705
MPT     ,2005-04-13,19000.0               ,19000.0 ,18000.0 ,18448.02 ,-1.54           ,109           ,2005485          ,2005485                         ,46.393797706890844,21107.428571428565,20444.41647675921 ,52.345788025316   ,20658.533333333333,19826.010126287452,55.03713764092228 ,17209.016666666666,18037.688879795427,0.1072961373390558               ,0.10674157303370788 ,0.10344887039580689 ,0.10529798761654086 ,0.5396774193548387         ,0.06404230317273796      ,0.04246280163000786         ,0.013893533764546218                       ,0.46393797706890844,0.12449135123316384  ,0.12234931474529606  ,0.52345788025316   ,0.12493879116867186  ,0.12406871367614258  ,0.5503713764092228 ,0.1079742482493442  ,0.11835050677023393
MPT     ,2005-04-14,18000.0               ,18500.0 ,18000.0 ,18214.56 ,-1.27           ,103           ,1876100          ,1876100                         ,42.90870423598189 ,20857.285714285714,20118.49427985798 ,50.02772021313829 ,20725.2           ,19708.20302136568 ,53.28989704949886 ,17295.683333333334,18036.453178818527,0.10157367668097282              ,0.10393258426966293 ,0.10344887039580689 ,0.1039654398315234  ,0.544032258064516          ,0.060517038777908344     ,0.039723289946351006        ,0.01299718456915168                        ,0.42908704235981887,0.12301601177238318  ,0.12039883807131138  ,0.5002772021313829 ,0.12534197820088672  ,0.12333149141727896  ,0.5328989704949886 ,0.10851801948060437 ,0.11834239897783284
MPT     ,2005-04-18,17500.0               ,17500.0 ,17100.0 ,17300.0  ,-5.02           ,10            ,173000           ,173000                          ,41.2487411412369  ,20464.428571428565,19769.36170921025 ,48.90869237784536 ,20726.366666666665,19565.738310309825,52.443570984564225,17380.683333333334,18018.864550004804,0.09871244635193133              ,0.09831460674157304 ,0.09827642687601654 ,0.09874529547160923 ,0.48354838709677417        ,0.005875440658049354     ,0.0036629866002445095       ,0.0011985037740329624                      ,0.412487411412369  ,0.12069894522918101  ,0.11830945925130093  ,0.48908692377845364,0.12534903397395047  ,0.12243996491586215  ,0.5244357098456423 ,0.10905133357280182 ,0.11822699488436114
MPT     ,2005-04-19,17001.0               ,17501.0 ,17000.0 ,17057.39 ,-1.4            ,32            ,545083           ,545083                          ,39.61021274415903 ,20071.64285714286 ,19400.246814648883,47.80592754867185 ,20653.066666666666,19400.271322547902,51.61189951345328 ,17457.366666666665,17985.491941807926,0.09585693848354793              ,0.09832022471910112 ,0.09770171092937316 ,0.09736052112858223 ,0.5419354838709677         ,0.01880141010575793      ,0.011541223844052474        ,0.003776208281278666                       ,0.3961021274415903 ,0.11838229997080497  ,0.11610049650280657  ,0.47805927548671856,0.12490572983203024  ,0.12140449301825286  ,0.5161189951345329 ,0.10953246654107641 ,0.11800802752558996
MPT     ,2005-04-20,17200.0               ,17201.0 ,17200.0 ,17200.42 ,0.84            ,24            ,412810           ,412810                          ,40.61810265425879 ,19693.071428571428,19106.8805726957  ,48.286428615610134,20536.4           ,19258.318333996423,51.92103281577137 ,17535.7           ,17959.73810765029 ,0.09699570815450644              ,0.09663483146067417 ,0.0988511428226599  ,0.09817691070148998 ,0.5780645161290322         ,0.014101057579318448     ,0.00874056357483778         ,0.002859851693402007                       ,0.4061810265425879 ,0.11614949039281018  ,0.11434485047039585  ,0.48286428615610133,0.12420015252565428  ,0.12051616881283372  ,0.5192103281577137 ,0.1100239520770231  ,0.11783904915235463
MPT     ,2005-04-21,18000.0               ,18000.0 ,17201.0 ,18000.0  ,4.65            ,45            ,802809           ,802809                          ,44.60059399410881 ,19442.928571428565,18959.296496336272,50.19125805508514 ,20369.766666666666,19177.136505996656,53.144475197939826,17622.366666666665,17961.05816969454 ,0.10157367668097282              ,0.10112359550561799 ,0.09885688998212634 ,0.10274076985485354 ,0.639516129032258          ,0.026439482961222092     ,0.01699814225176702         ,0.005561674082818662                       ,0.4460059399410881 ,0.11467415093202944  ,0.1134616356997312   ,0.5019125805508514 ,0.12319238653863326  ,0.12000814299676424  ,0.5314447519793982 ,0.11056772330828324 ,0.1178477104621791
MPT     ,2005-04-25,18000.0               ,18000.0 ,17100.0 ,17905.54 ,-0.52           ,92            ,1647310          ,1647310                         ,44.60059399410882 ,19157.214285714286,18831.390296824768,50.191258055085136,20169.766666666666,19101.1922152872  ,53.144475197939826,17709.033333333333,17962.33495101603 ,0.10157367668097282              ,0.10112359550561799 ,0.09827642687601654 ,0.10220160912593747 ,0.5561290322580644         ,0.05405405405405405      ,0.03487904310086002         ,0.011412180647411787                       ,0.4460059399410882 ,0.11298901162788248  ,0.1126961828984885   ,0.5019125805508514 ,0.12198282544198873  ,0.11953289303979603  ,0.5314447519793982 ,0.1111114945395434  ,0.11785608779463227
MPT     ,2005-04-26,18000.0               ,18000.0 ,18000.0 ,18000.0  ,0.53            ,38            ,684000           ,684000                          ,44.60059399410881 ,19014.35714285714 ,18720.53825724813 ,50.191258055085136,20006.433333333334,19030.14755623641 ,53.144475197939826,17795.7           ,17963.56987065485 ,0.10157367668097282              ,0.10112359550561799 ,0.10344887039580689 ,0.10274076985485354 ,0.5730645161290322         ,0.022326674500587545     ,0.014482559737382916        ,0.004738592956292175                       ,0.4460059399410881 ,0.11214644197580897  ,0.11203279047074483  ,0.5019125805508514 ,0.12099501721306236  ,0.11908830437037413  ,0.5314447519793982 ,0.11165526577080356 ,0.11786419046044766
MPT     ,2005-04-27,18000.0               ,0.0     ,0.0     ,18000.0  ,0.0             ,0             ,0                ,0                               ,44.60059399410881 ,18728.64285714286 ,18624.46648961505 ,50.19125805508514 ,19917.366666666665,18963.686423576   ,53.144475197939826,17882.366666666665,17964.764301125182,0.10157367668097282              ,0.0                 ,0.0                 ,0.10274076985485354 ,0.564516129032258          ,0.0                      ,0.0                         ,0.0                                        ,0.4460059399410881 ,0.11046130267166199  ,0.11145785036670035  ,0.5019125805508514 ,0.12045635933802332  ,0.11867239884091495  ,0.5314447519793982 ,0.11219903700206371 ,0.11787202746508876
MPT     ,2005-04-28,18000.0               ,18000.0 ,18000.0 ,18000.0  ,0.0             ,11            ,198000           ,198000                          ,44.60059399410881 ,18485.785714285714,18541.204290999707,50.191258055085136,19895.7           ,18901.513105925933,53.144475197939826,17967.366666666665,17965.91956994075 ,0.10157367668097282              ,0.10112359550561799 ,0.10344887039580689 ,0.10274076985485354 ,0.564516129032258          ,0.006462984723854289     ,0.004192319923979265        ,0.0013716979610319453                      ,0.4460059399410881 ,0.10902893426313703  ,0.11095956894319509  ,0.5019125805508514 ,0.1203253235525535   ,0.11828332592625955  ,0.5314447519793982 ,0.11273235109426116 ,0.11787960751875802
MPT     ,2005-05-04,17410.0               ,17410.0 ,17410.0 ,17410.0  ,-3.28           ,15            ,261150           ,261150                          ,41.689190655751744,18200.785714285714,18390.37705219975 ,48.63471145630924 ,19909.366666666665,18805.286453930712,52.0828335605589  ,18042.533333333333,17947.692698795152,0.09819742489270386              ,0.09780898876404495 ,0.10005804631061099 ,0.09937315573183335 ,0.5116129032258064         ,0.00881316098707403      ,0.005529415899733259        ,0.0018091864773913764                      ,0.41689190655751746,0.10734800780725039  ,0.11005694551380656  ,0.48634711456309243,0.12040797689415753  ,0.11768115146662991  ,0.520828335605589  ,0.11320396806598873 ,0.11776001573228843
MPT     ,2005-05-05,17410.0               ,0.0     ,0.0     ,17410.0  ,0.0             ,0             ,0                ,0                               ,41.689190655751744,18015.785714285714,18259.660111906447,48.634711456309226,19906.366666666665,18715.26797303196 ,52.0828335605589  ,18116.016666666666,17930.063429982198,0.09819742489270386              ,0.0                 ,0.0                 ,0.09937315573183335 ,0.564516129032258          ,0.0                      ,0.0                         ,0.0                                        ,0.41689190655751746,0.10625688010781521  ,0.10927467187500312  ,0.48634711456309226,0.12038983347770786  ,0.1171178269721377   ,0.520828335605589  ,0.11366502332726296 ,0.1176443449879982
MPT     ,2005-05-09,18000.0               ,18000.0 ,17300.0 ,17999.6  ,3.39            ,16            ,287294           ,287294                          ,45.75413686977548 ,17872.928571428572,18225.03876365225 ,50.28111504366127 ,19883.033333333333,18669.121652191185,53.05220930649785 ,18199.33333333333 ,17932.356432277862,0.10157367668097282              ,0.10112359550561799 ,0.09942585876930328 ,0.10273848672663453 ,0.6191935483870967         ,0.009400705052878966     ,0.006082971516362117        ,0.001990306030387433                       ,0.4575413686977548 ,0.10541431045574172  ,0.10906748091705748  ,0.5028111504366127 ,0.12024871801643268  ,0.11682904901675824  ,0.5305220930649786 ,0.11418777570900707 ,0.11765939004091631
MPT     ,2005-05-10,18000.0               ,18000.0 ,17602.0 ,17963.82 ,-0.2            ,11            ,197602           ,197602                          ,45.75413686977549 ,17822.928571428572,18195.03359516528 ,50.28111504366128 ,19797.666666666668,18625.95251334014 ,53.05220930649786 ,18282.65          ,17934.57425417039 ,0.10157367668097282              ,0.10112359550561799 ,0.10116150092816627 ,0.10253426090744529 ,0.5612903225806452         ,0.006462984723854289     ,0.004183892937465408        ,0.0013689407095749215                      ,0.45754136869775497,0.10511941107751599  ,0.10888791542017127  ,0.5028111504366128 ,0.11973243702168157  ,0.11655890189720974  ,0.5305220930649786 ,0.11471052809075125 ,0.1176739418134109
MPT     ,2005-05-11,18000.0               ,18000.0 ,18000.0 ,18000.0  ,0.2             ,23            ,414000           ,414000                          ,45.75413686977548 ,17751.5           ,18169.029115809917,50.28111504366128 ,19664.166666666668,18585.56848022142 ,53.05220930649786 ,18365.983333333334,17936.719360591032,0.10157367668097282              ,0.10112359550561799 ,0.10344887039580689 ,0.10274076985485354 ,0.5677419354838709         ,0.013513513513513513     ,0.008765759841047554        ,0.0028680957367031583                      ,0.4575413686977548 ,0.10469812625147924  ,0.10873229198953661  ,0.5028111504366128 ,0.11892505498967135  ,0.11630618362408372  ,0.5305220930649786 ,0.115233385043886   ,0.11768801647861057
MPT     ,2005-05-12,17750.0               ,17750.0 ,17700.0 ,17748.59 ,-1.4            ,86            ,1525665          ,1525665                         ,44.15009734022368 ,17733.64285714286 ,18113.158567035258,49.53874424669363 ,19492.5           ,18531.660836336167,52.57858534184781 ,18440.15          ,17930.597414342144,0.10014306151645207              ,0.09971910112359551 ,0.10172472255587676 ,0.10130576669100862 ,0.5419354838709677         ,0.05052878965922444      ,0.032303413014231445        ,0.010569452372312136                       ,0.4415009734022368 ,0.10459280504497005  ,0.10839793549837465  ,0.49538744246693633,0.11788684838171812  ,0.11596883627120978  ,0.5257858534184782 ,0.11569872773217595 ,0.11764784861421262
MPT     ,2005-05-16,17705.0               ,17706.0 ,17705.0 ,17705.0  ,-0.25           ,17            ,300995           ,300995                          ,43.853596692515396,17748.285714285714,18058.73742476389 ,49.403074535316975,19316.0           ,18478.327879153192,52.49282603964622 ,18518.4           ,17923.200777806338,0.09988555078683833              ,0.09947191011235956 ,0.10175345835320894 ,0.10105696279334345 ,0.5604838709677419         ,0.0099882491186839       ,0.0063730673511017116       ,0.0020852233726303556                      ,0.43853596692515395,0.10467916843430758  ,0.10807225295947083  ,0.49403074535316976,0.1168194107139293   ,0.11563508523647875  ,0.5249282603964622 ,0.11618969041116949 ,0.11759931713724561
MPT     ,2005-05-17,18000.0               ,18000.0 ,18000.0 ,18000.0  ,1.67            ,5             ,90000            ,90000                           ,46.38272823701765 ,17819.64285714286 ,18050.905768128705,50.32464558479125 ,19199.266666666666,18447.468015982016,53.00371201982765 ,18585.08333333333 ,17925.718785091376,0.10157367668097282              ,0.10112359550561799 ,0.10344887039580689 ,0.10274076985485354 ,0.5914516129032258         ,0.002937720329024677     ,0.0019055999654451206       ,0.0006234990731963388                      ,0.4638272823701765 ,0.1051000319755183   ,0.10802538452359618  ,0.5032464558479125 ,0.11611343022052112  ,0.1154419680382386   ,0.5300371201982765 ,0.11660808054506788 ,0.11761583851313924
