  ,stock_id,date      ,rmse_norm             ,rmse_denorm
0 ,kmb     ,2019-01-04,0.08022516025854065   ,655.19873046875
1 ,kmb     ,2018-10-30,0.032597852472840416  ,266.2265625
2 ,kmb     ,2018-12-11,0.064701420270172     ,528.41650390625
3 ,kmb     ,2018-11-22,0.05034466532462811   ,411.1650390625
4 ,kmb     ,2018-11-15,0.019433543412647802  ,158.7138671875
5 ,kmb     ,2018-11-09,0.02665259850657209   ,217.671875
6 ,kmb     ,2018-11-05,0.002096236912524363  ,17.1201171875
7 ,kmb     ,2018-12-25,0.010787220524211882  ,88.09912109375
8 ,kmb     ,2018-11-30,0.00015941159705046282,1.3017578125
9 ,kmb     ,2018-12-14,0.006087952996024382  ,49.72021484375
10,kmb     ,2018-11-13,0.025288175052100126  ,206.52880859375
11,kmb     ,2018-10-26,0.035569913700830624  ,290.49951171875
12,kmb     ,2018-10-03,0.053256436837585186  ,434.9453125
13,kmb     ,2018-10-09,0.032736632783657904  ,267.3603515625
14,kmb     ,2018-12-10,0.041994575221783514  ,342.9697265625
15,kmb     ,2018-10-04,0.018254760463482733  ,149.08642578125
16,kmb     ,2018-10-24,0.03202392785803443   ,261.53955078125
17,kmb     ,2018-12-07,0.04812119282107907   ,393.005859375
18,kmb     ,2018-11-20,0.02872751116592065   ,234.61767578125
19,kmb     ,2018-11-16,0.02880998718646599   ,235.291015625
20,kmb     ,2018-10-29,0.03788673522292263   ,309.4208984375
21,kmb     ,2018-12-13,0.026282043213708306  ,214.64501953125
22,kmb     ,2018-11-28,0.015825818196437247  ,129.2490234375
23,kmb     ,2018-12-19,0.013881560680958804  ,113.37060546875
24,kmb     ,2018-10-19,0.02392187033286952   ,195.3701171875
25,kmb     ,2018-11-14,0.013701183553335827  ,111.8974609375
26,kmb     ,2018-12-03,0.020749831573315447  ,169.4638671875
27,kmb     ,2018-12-21,0.01052386180940279   ,85.9482421875
28,kmb     ,2018-10-18,0.022943364069717864  ,187.37841796875
29,kmb     ,2018-11-19,0.018487643630673678  ,150.98876953125
