,symbol,date,rmse_norm,rmse_denorm
0,XRP_with_indicators,2016-07-29,0.0035468611453118165,7.308312771329661e-07
1,XRP_with_indicators,2016-08-26,0.0048893294555922145,1.0074464363511648e-06
2,XRP_with_indicators,2016-09-09,0.006316975080013797,1.3016127023496663e-06
3,XRP_with_indicators,2016-10-29,0.0027896272254941956,5.748023633728743e-07
4,XRP_with_indicators,2016-11-24,0.006305999124051588,1.2993516139383426e-06
5,XRP_with_indicators,2016-12-14,0.00024234041801227124,4.993398658698322e-08
6,XRP_with_indicators,2017-01-27,0.0013052572674092933,2.689481791690928e-07
7,XRP_with_indicators,2017-02-14,7.828492033947615e-05,1.6130797313526233e-08
8,XRP_with_indicators,2017-03-22,0.018893787589668143,3.893065154930809e-06
9,XRP_with_indicators,2017-04-20,0.0012677401101754138,2.6121668922714884e-07
10,XRP_with_indicators,2017-05-07,0.2351116570880245,4.84447577914223e-05
11,XRP_with_indicators,2017-06-11,0.04017934126490619,8.278955551609387e-06
