  ,stock_id,date      ,rmse_norm            ,rmse_denorm
0 ,alk     ,2019-01-04,0.036101792976533154 ,492.78955078125
1 ,alk     ,2018-10-30,0.0238710386412484   ,325.83984375
2 ,alk     ,2018-12-11,0.029257331575666123 ,399.36279296875
3 ,alk     ,2018-11-22,0.0045066867381224895,61.51611328124909
4 ,alk     ,2018-11-15,0.015623841923235071 ,213.265625
5 ,alk     ,2018-11-09,0.01879153081348961  ,256.50439453125
6 ,alk     ,2018-11-05,0.005372737135205918 ,73.337890625
7 ,alk     ,2018-12-25,0.01606813433406118  ,219.330078125
8 ,alk     ,2018-11-30,0.007021937789497779 ,95.849609375
9 ,alk     ,2018-12-14,0.010837528950128794 ,147.93212890625
10,alk     ,2018-11-13,0.031150553907666856 ,425.205078125
11,alk     ,2018-10-26,0.011688623891208616 ,159.5498046875
12,alk     ,2018-10-03,0.008877787179562668 ,121.181640625
13,alk     ,2018-10-09,0.0008383657469417383,11.44384765625
14,alk     ,2018-12-10,0.02346167328593496  ,320.251953125
15,alk     ,2018-10-04,0.006891539699428684 ,94.0693359375
16,alk     ,2018-10-24,0.026306654289091846 ,359.0859375
17,alk     ,2018-12-07,0.020043293049920585 ,273.5908203124991
18,alk     ,2018-11-20,0.007691124489892509 ,104.98388671874909
19,alk     ,2018-11-16,0.01941958473715588  ,265.0771484375
20,alk     ,2018-10-29,0.013533209051404649 ,184.728515625
21,alk     ,2018-12-13,0.024483535752628294 ,334.2001953125
22,alk     ,2018-11-28,0.013085160063299961 ,178.6123046875
23,alk     ,2018-12-19,0.007446740136478391 ,101.64794921875
24,alk     ,2018-10-19,0.032660815960321665 ,445.8203125
25,alk     ,2018-11-14,0.010054443520067347 ,137.2431640625
26,alk     ,2018-12-03,0.014299675344110807 ,195.1904296875
27,alk     ,2018-12-21,0.01763197397574401  ,240.6767578125
28,alk     ,2018-10-18,0.028327110617152096 ,386.6650390625
29,alk     ,2018-11-19,0.015032974940079935 ,205.2001953125
