DateTime,Open,High,Low,Close,Symbol,RSI_14,SMA_14,EMA_14,RSI_30,SMA_30,EMA_30,RSI_60,SMA_60,EMA_60
2013-09-28,2.5650000000000004,2.5650000000000004,2.5650000000000004,2.5650000000000004,LTC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-09-29,2.58984,2.58984,2.58984,2.58984,LTC,100.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0
2013-09-30,2.5542,2.6961,2.5542,2.6961,LTC,100.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0
2013-10-01,2.6657,2.6657,2.6657,2.6657,LTC,93.30620585178531,0.0,0.0,96.44192069832592,0.0,0.0,98.10105064820694,0.0,0.0
2013-10-02,2.337,2.3493,2.337,2.3493,LTC,53.42632937948822,0.0,0.0,69.75074054764099,0.0,0.0,81.6872506702275,0.0,0.0
2013-10-03,2.501909,2.501909,2.501909,2.501909,LTC,61.85227755718943,0.0,0.0,73.41749583551541,0.0,0.0,83.07581350420618,0.0,0.0
2013-10-04,2.613262,2.613262,2.613262,2.613262,LTC,66.57921601925823,0.0,0.0,75.64358595854732,0.0,0.0,83.97708154011465,0.0,0.0
2013-10-05,2.61097,2.61097,2.61097,2.61097,LTC,66.39777279241905,0.0,0.0,75.50909309614802,0.0,0.0,83.88360244158532,0.0,0.0
2013-10-06,2.63198,2.63198,2.382562,2.382562,LTC,51.432099557756416,0.0,0.0,63.823633688381875,0.0,0.0,75.38207240851348,0.0,0.0
2013-10-07,2.347982,2.347982,2.278724,2.278724,LTC,46.34411729879442,0.0,0.0,59.49814291246916,0.0,0.0,72.0089649504986,0.0,0.0
2013-10-08,2.2903022,2.2903022,2.18384,2.18384,LTC,42.25191043957347,0.0,0.0,55.919686736478035,0.0,0.0,69.13503901936178,0.0,0.0
2013-10-09,2.2319999999999998,2.66445,2.2319999999999998,2.66445,LTC,60.960185633039025,0.0,0.0,66.47370999558635,0.0,0.0,74.39710691929582,0.0,0.0
2013-10-10,2.6818310000000003,2.8082,2.10615,2.8082,LTC,64.63203207227042,0.0,0.0,68.78370093825039,0.0,0.0,75.65900057447968,0.0,0.0
2013-10-11,2.802,2.802,2.3817,2.5218000000000003,LTC,53.8253575112958,2.530832642857143,2.530832642857143,60.23880588230715,0.0,0.0,68.79130541046828,0.0,0.0
2013-10-12,2.57202,2.57202,2.57202,2.57202,LTC,55.231670757091855,2.5313340714285717,2.5363242904761907,61.114106845116126,0.0,0.0,69.28828297867177,0.0,0.0
2013-10-13,2.65554,2.80307,2.65554,2.80307,LTC,61.07545950689868,2.5465647857142857,2.571890385079365,64.7982150441669,0.0,0.0,71.41726874780485,0.0,0.0
2013-10-14,2.87603,2.87603,2.87603,2.87603,LTC,62.721803524989596,2.5594169285714288,2.6124423337354497,65.85382069432556,0.0,0.0,72.03952692603376,0.0,0.0
