,symbol,date,rmse_norm,rmse_denorm
0,DOGE,2016-07-29,0.0023528123679368573,1.149114746213701e-07
1,DOGE,2016-08-26,0.02140316691087643,1.0453304484447112e-06
2,DOGE,2016-09-09,0.026515374796977992,1.2950113241795637e-06
3,DOGE,2016-10-29,0.029096070839011168,1.4210523128592544e-06
4,DOGE,2016-11-24,0.008757336092168028,4.2770857198108355e-07
5,DOGE,2016-12-14,0.009796904157037323,4.784811255781735e-07
6,DOGE,2017-01-27,0.000889859175768476,4.3460744449707995e-08
7,DOGE,2017-02-14,0.007167649063943099,3.5006779712791935e-07
8,DOGE,2017-03-22,0.006531790816697497,3.1901268460000647e-07
9,DOGE,2017-04-20,0.0096120173516481,4.69450699266493e-07
10,DOGE,2017-05-07,0.04521995955619251,2.2085435532608387e-06
11,DOGE,2017-06-11,0.001262660475744637,6.16673965525311e-08
