,configuration,Average_RMSE_norm,Average_RMSE_denorm
0,LSTM_256_neurons_60_days,0.17188645707967215,511.0957753372267
1,LSTM_256_neurons_30_days,0.17173485774149191,510.6450236360381
2,LSTM_256_neurons_100_days,0.17048115868325414,506.9172044966095
3,LSTM_128_neurons_60_days,0.3314716558976837,985.6143607759618
4,LSTM_128_neurons_30_days,0.1713092715402218,509.37953343568313
5,LSTM_128_neurons_100_days,0.2131374014690534,633.753398564095
