,symbol,date,rmse_norm,rmse_denorm
0,XLM_with_indicators,2016-07-29,0.013505308255908767,3.9624575432622825e-07
1,XLM_with_indicators,2016-08-26,0.004726625339019491,1.3867921846045626e-07
2,XLM_with_indicators,2016-09-09,0.007813369310584767,2.2924433193227733e-07
3,XLM_with_indicators,2016-10-29,0.030460487581388272,8.937108128669207e-07
4,XLM_with_indicators,2016-11-24,0.010638873914958817,3.1214448306011017e-07
5,XLM_with_indicators,2016-12-14,0.02117040484950669,6.211398080107758e-07
6,XLM_with_indicators,2017-01-27,0.008003693848502975,2.348283860593801e-07
7,XLM_with_indicators,2017-02-14,0.00038536672049341997,1.1306700390996292e-08
8,XLM_with_indicators,2017-03-22,0.015028448021210776,4.4093472504202507e-07
9,XLM_with_indicators,2017-04-20,0.003791426423360632,1.1124045593780459e-07
10,XLM_with_indicators,2017-05-07,0.43810392041635426,1.2853969350911213e-05
11,XLM_with_indicators,2017-06-11,0.035207644846460495,1.0329920279560614e-06
