 ,mean_rmse_denorm ,mean_rmse_norm      ,model
0,620.991601585081 ,0.0187260968785931  ,ts30_lstm_neurons128
1,824.8450239733795,0.017021498635327398,ts30_lstm_neurons256
2,781.1338644015344,0.01852010837060179 ,ts100_lstm_neurons128
3,868.6259116720951,0.019259421565321677,ts100_lstm_neurons256
4,604.4265776139786,0.014555943664952057,ts200_lstm_neurons128
5,934.3997047762465,0.0190257805187574  ,ts200_lstm_neurons256
