,symbol,date,rmse_norm,rmse_denorm
0,XRP,2016-07-29,0.0058514725830016295,1.205695764701813e-06
1,XRP,2016-08-26,0.0010893005205174083,2.2445062416372783e-07
2,XRP,2016-09-09,0.00279897233045049,5.767285064444879e-07
3,XRP,2016-10-29,0.006755210994386862,1.39191171710845e-06
4,XRP,2016-11-24,0.004227626135943872,8.711029221606443e-07
5,XRP,2016-12-14,0.001046190930096974,2.1556752574397353e-07
6,XRP,2017-01-27,0.0033495777108731584,6.901803769636894e-07
7,XRP,2017-02-14,0.0017358141083670744,3.576642491575331e-07
8,XRP,2017-03-22,0.021102433976529944,4.348156749561894e-06
9,XRP,2017-04-20,0.004686443527920442,9.65640731761232e-07
10,XRP,2017-05-07,0.22651306123040427,4.6673018456622954e-05
11,XRP,2017-06-11,0.03550445956820514,7.315698799025257e-06
