cryptostock_name,date,model,neurons,days,real_value,predicted_value
BTC,2016-07-29,SingleTarget_Data,128,30,0.16050209629184434,0.16371122002601626
BTC,2016-08-26,SingleTarget_Data,128,30,0.12994837111968774,0.13472796976566315
BTC,2016-09-09,SingleTarget_Data,128,30,0.14956082866887274,0.1448482722043991
BTC,2016-10-29,SingleTarget_Data,128,30,0.1759002469207319,0.1700899302959442
BTC,2016-11-24,SingleTarget_Data,128,30,0.1915120093265074,0.1900235265493393
BTC,2016-12-14,SingleTarget_Data,128,30,0.2041187247014866,0.20441338419914248
BTC,2017-01-27,SingleTarget_Data,128,30,0.25600104271511426,0.2519429922103882
BTC,2017-02-14,SingleTarget_Data,128,30,0.2884700328020796,0.28857243061065674
BTC,2017-03-22,SingleTarget_Data,128,30,0.2981875583811847,0.30134400725364685
BTC,2017-04-20,SingleTarget_Data,128,30,0.3758879370895215,0.3593872785568237
BTC,2017-05-07,SingleTarget_Data,128,30,0.526078739473284,0.4858286380767822
BTC,2017-06-11,SingleTarget_Data,128,30,0.8853447838900514,1.0820488929748535
BTC,2016-07-29,SingleTarget_Data,256,100,0.16050209629184434,0.12053363025188445
BTC,2016-08-26,SingleTarget_Data,256,100,0.12994837111968774,0.13176101446151733
BTC,2016-09-09,SingleTarget_Data,256,100,0.14956082866887274,0.14268943667411804
BTC,2016-10-29,SingleTarget_Data,256,100,0.1759002469207319,0.1660839170217514
BTC,2016-11-24,SingleTarget_Data,256,100,0.1915120093265074,0.1916942298412323
BTC,2016-12-14,SingleTarget_Data,256,100,0.2041187247014866,0.21288231015205386
BTC,2017-01-27,SingleTarget_Data,256,100,0.25600104271511426,0.2536717355251312
BTC,2017-02-14,SingleTarget_Data,256,100,0.2884700328020796,0.2872346043586731
BTC,2017-03-22,SingleTarget_Data,256,100,0.2981875583811847,0.297615259885788
BTC,2017-04-20,SingleTarget_Data,256,100,0.3758879370895215,0.35716912150383
BTC,2017-05-07,SingleTarget_Data,256,100,0.526078739473284,0.4890555441379547
BTC,2017-06-11,SingleTarget_Data,256,100,0.8853447838900514,0.7994130849838257
BTC,2016-07-29,SingleTarget_Data,128,100,0.16050209629184434,0.1299407184123993
BTC,2016-08-26,SingleTarget_Data,128,100,0.12994837111968774,0.13234885036945346
BTC,2016-09-09,SingleTarget_Data,128,100,0.14956082866887274,0.14261141419410706
BTC,2016-10-29,SingleTarget_Data,128,100,0.1759002469207319,0.1641331911087036
BTC,2016-11-24,SingleTarget_Data,128,100,0.1915120093265074,0.19194695353508
BTC,2016-12-14,SingleTarget_Data,128,100,0.2041187247014866,0.20579615235328674
BTC,2017-01-27,SingleTarget_Data,128,100,0.25600104271511426,0.25678312778472895
BTC,2017-02-14,SingleTarget_Data,128,100,0.2884700328020796,0.29365286231040955
BTC,2017-03-22,SingleTarget_Data,128,100,0.2981875583811847,0.3102467656135559
BTC,2017-04-20,SingleTarget_Data,128,100,0.3758879370895215,0.3507765233516693
BTC,2017-05-07,SingleTarget_Data,128,100,0.526078739473284,0.4782935976982117
BTC,2017-06-11,SingleTarget_Data,128,100,0.8853447838900514,1.0119231939315796
BTC,2016-07-29,SingleTarget_Data,128,200,0.16050209629184434,0.13104671239852905
BTC,2016-08-26,SingleTarget_Data,128,200,0.12994837111968774,0.13845893740653992
BTC,2016-09-09,SingleTarget_Data,128,200,0.14956082866887274,0.1429090052843094
BTC,2016-10-29,SingleTarget_Data,128,200,0.1759002469207319,0.16491778194904327
BTC,2016-11-24,SingleTarget_Data,128,200,0.1915120093265074,0.1901096999645233
BTC,2016-12-14,SingleTarget_Data,128,200,0.2041187247014866,0.20264264941215515
BTC,2017-01-27,SingleTarget_Data,128,200,0.25600104271511426,0.2518717050552368
BTC,2017-02-14,SingleTarget_Data,128,200,0.2884700328020796,0.2904649078845978
BTC,2017-03-22,SingleTarget_Data,128,200,0.2981875583811847,0.3019764125347137
BTC,2017-04-20,SingleTarget_Data,128,200,0.3758879370895215,0.3539381325244904
BTC,2017-05-07,SingleTarget_Data,128,200,0.526078739473284,0.4866544902324677
BTC,2017-06-11,SingleTarget_Data,128,200,0.8853447838900514,1.0480597019195557
BTC,2016-07-29,SingleTarget_Data,256,200,0.16050209629184434,0.1611662358045578
BTC,2016-08-26,SingleTarget_Data,256,200,0.12994837111968774,0.13198168575763702
BTC,2016-09-09,SingleTarget_Data,256,200,0.14956082866887274,0.14379140734672546
BTC,2016-10-29,SingleTarget_Data,256,200,0.1759002469207319,0.16701160371303558
BTC,2016-11-24,SingleTarget_Data,256,200,0.1915120093265074,0.19101719558238986
BTC,2016-12-14,SingleTarget_Data,256,200,0.2041187247014866,0.2027201354503632
BTC,2017-01-27,SingleTarget_Data,256,200,0.25600104271511426,0.2538774013519287
BTC,2017-02-14,SingleTarget_Data,256,200,0.2884700328020796,0.2881225347518921
BTC,2017-03-22,SingleTarget_Data,256,200,0.2981875583811847,0.3170151114463806
BTC,2017-04-20,SingleTarget_Data,256,200,0.3758879370895215,0.3651733100414276
BTC,2017-05-07,SingleTarget_Data,256,200,0.526078739473284,0.4859236180782318
BTC,2017-06-11,SingleTarget_Data,256,200,0.8853447838900514,1.0138671398162842
BTC,2016-07-29,SingleTarget_Data,256,30,0.16050209629184434,0.16500934958457947
BTC,2016-08-26,SingleTarget_Data,256,30,0.12994837111968774,0.13319137692451474
BTC,2016-09-09,SingleTarget_Data,256,30,0.14956082866887274,0.14507333934307098
BTC,2016-10-29,SingleTarget_Data,256,30,0.1759002469207319,0.17047818005084991
